dataset,method,mae,rmse,rel_mae,n
seismic__asrecorded,ALPRD_v2.0,0.0014040109857444596,0.003864507041279042,0.8978893213026669,3000
seismic__asrecorded,savgol_default,0.00028788760405414987,0.0006375393047003714,0.18410910458693436,3000
seismic__asrecorded,drv_savgol_oracle,0.001213382648878784,0.002912900316512418,0.7759792011203662,3000
seismic__asrecorded,drv_spline_oracle,3.613515015513166e-05,8.227304084789548e-05,0.023109053830342622,3000
seismic__asrecorded,pnd_butter_oracle,0.0002168720309368849,0.0004978229424256227,0.13869341667878682,3000
seismic__asrecorded,pnd_savgol_oracle,0.00046802068933147583,0.0010649796407931481,0.2993073297618273,3000
seismic__noise5pct,ALPRD_v2.0,0.001548972030257546,0.003902743095666399,0.9905944177689638,3000
seismic__noise5pct,savgol_default,0.0003509647826460222,0.0006615507174344081,0.22444805182495234,3000
seismic__noise5pct,drv_savgol_oracle,0.0012150205755328456,0.002913503354750339,0.7770266835593864,3000
seismic__noise5pct,drv_spline_oracle,0.00027983594884799793,0.00039591299506470734,0.17895993175152275,3000
seismic__noise5pct,pnd_butter_oracle,0.00031646214980999,0.0005455398242776567,0.20238302107031506,3000
seismic__noise5pct,pnd_savgol_oracle,0.0004987827272696914,0.0010743667117920086,0.3189801853496243,3000
seismic__outliers5pct,ALPRD_v2.0,0.001479539456317276,0.0038876430819763173,0.9461910852277517,3000
seismic__outliers5pct,savgol_default,0.0022367986798359123,0.004016527740201733,1.4304714627739472,3000
seismic__outliers5pct,drv_savgol_oracle,0.0015558104932969523,0.003051152236342188,0.9949677332198754,3000
seismic__outliers5pct,drv_spline_oracle,0.011974309059610963,0.03290403074719264,7.657777854851724,3000
seismic__outliers5pct,pnd_butter_oracle,0.0014511118021708468,0.0027333361133228475,0.9280111084704973,3000
seismic__outliers5pct,pnd_savgol_oracle,0.0014441083987930836,0.0024308694618662093,0.9235323108189715,3000
